ID	NAME	LONG	LAT
5	Boys' clothes	730.6585	215.7415
12	Boys' and girls' footwear	621.3925	166.1135
11	Men's footwear	622.649	111.5861
13	Women's footwear	622.381	143.241
188	Girls' apparel	627.4065	81.59485
2	Men's furnishings	659.848	114.18635
4	Men's pants and shorts	672.9895	131.515
3	Men's shirts and sweaters	688.405	153.489
1	Men's suits, sport coats, and outerwear	654.925	153.531
14	Infants' and toddlers' apparel	706.69	166.963
16	Jewelry	709.8725	200.8145
15	Watches	736.2615	188.583
7	Women's dresses	695.895	222.462
6	Women's outerwear	672.876	180.661
8	Women's suits and separates	655.525	219.3055
9	Women's underwear, nightwear, sportswear and accessories	631.404	189.9785
119	Computer software and accessories	13.807	389.6735
120	Internet services and electronic information providers	25.12861	413.241
118	Personal computers and peripheral equipment	31.170055	439.842
121	Telephone hardware, calculators, and other consumer information items	13.53286	452.168
204	Postage	17.645025	365.187
22	Delivery services	9.80214	380.6805
116	Land-line telephone services, local charges	73.60595	409.147
23	Land-line telephone services, long distance charges	54.4882	370.1195
117	Wireless telephone services	122.73875	388.415
17	Educational books and supplies	64.9558	212.7515
20	Child care and nursery school	108.50145	312.6685
18	College tuition and fees	70.8852	277.2475
19	Elementary and high school tuition and fees	37.27619	324.371
21	Technical and business school tuition and fees	47.7519	239.924
63	Beer, ale, and other malt beverages at home	409.0685	540.824
64	Distilled spirits at home	392.6485	526.996
65	Wine at home	420.524	559.711
217	Alcoholic beverages away from home	490.212	761.85
66	Alcoholic beverages away from home	490.212	761.85
122	Bread	321.092	771.7955
27	Cakes, cupcakes, and cookies	288.3495	767.068
123	Fresh biscuits, rolls, muffins	331.4985	746.8315
28	Other bakery products	301.275	740.9465
25	Breakfast cereal	352.5565	768.5575
24	Flour and prepared flour mixes	336.4455	786.462
26	Rice, pasta, cornmeal	357.853	787.203
40	Cheese and related products	442.4375	775.945
41	Ice cream and related products	414.5625	783.565
39	Milk	390.9915	770.802
128	Other dairy and related products	409.4255	752.9625
42	Apples	250.8345	758.991
43	Bananas	267.839	765.3275
44	Citrus fruits	234.1915	750.265
45	Other fresh fruits	263.0935	731.813
129	Lettuce	366.052	748.091
48	Other fresh vegetables	368.6225	717.427
46	Potatoes	380.217	739.072
47	Tomatoes	351.047	738.4505
31	Bacon, breakfast sausage, and related products	479.774	694.814
126	Chicken	448.6015	720.068
38	Eggs	429.3925	739.8315
127	Fresh fish and seafood	419.8865	691.383
32	Ham	403.5105	734.752
35	Other meats	463.7205	664.5975
34	Other pork including roasts and picnics	459.4205	761.612
36	Other poultry including turkey	391.5475	701.116
33	Pork chops	448.0035	751.3495
37	Processed fish and seafood	438.281	679.701
124	Uncooked beef roasts	454.02	694.683
30	Uncooked beef steaks	483.3935	725.534
29	Uncooked ground beef	408.437	713.6685
125	Uncooked other beef and veal	468.7875	744.331
52	Carbonated drinks	348.0765	708.525
133	Other beverage materials including tea	333.1015	670.8235
132	Coffee	285.2975	708.094
130	Frozen noncarbonated juices and drinks	308.2215	679.7725
131	Nonfrozen noncarbonated juices and drinks	312.611	708.4995
137	Baby food	360.9825	629.5685
53	Sugar and artificial sweeteners	443.891	656.584
136	Other fats and oils including peanut butter	393.6425	624.3375
55	Salad dressing	381.0445	637.389
56	Soups	378.383	612.865
